provider,model,problem_identifier,presentation,historical_audit_payload_sha256,historical_logical_request_sha256,historical_cell_sha256,release_derived_transmitted_body_sha256,custom_id
openai,gpt-5.6-sol,block_split_032,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,8f7c6f0bd4e4a6360d58500daea1ba73841708100819c37080c973336efbeee1,6e1c86bb4760255794b29530c50669b7984a58fb29d165a305d36ad688b41b8d,f85c383b2e2f1975683dbd91b11fdfa92ac1f4cb58f112c53bdb16eeef690bcd,fsb_6e1c86bb4760255794b29530c50669b7984a58fb
openai,gpt-5.6-sol,block_split_034,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,c466feae567466af6aed5cc0ded9c43f12e6bda2ec00a8152d1e2d5636cdf6ac,64a72333d4fd4d7f0141e2d5321d15fe96cbc0697f34098b44c1a39d1b44384f,0ba42e22a3cbdd9d56933dbd41fcda71b031fe3467ccd3e1e8761c972a89afd5,fsb_64a72333d4fd4d7f0141e2d5321d15fe96cbc069
openai,gpt-5.6-sol,block_split_035,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,a3a0eb60c45d534ec05672959acde96eb845e61863e9cd15955fe178a2ee6782,3d24b71efa5fc5802c722992084f83433e6ede4b8bf33fb76974ab9c9235bdf7,a161f4ae7f7432630df0a4f8b3d3fa314eda8de4eac61ec83b94d961e840868b,fsb_3d24b71efa5fc5802c722992084f83433e6ede4b
openai,gpt-5.6-sol,block_split_036,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,4a0bcc2c6786a44919921e93021a7dec5b89a9b5caa4b05d3cb6f09e7928c7d4,d68bb4dd45e220cf02e05f544d5aa2a9302797763f2984daca52df21b9730a68,0106ae4550c48e416fc194d2ff1df8cdf67308868c87099b518bbed923ce86bb,fsb_d68bb4dd45e220cf02e05f544d5aa2a930279776
openai,gpt-5.6-sol,block_split_039,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,499af46c47968e61733c1dd65a33dd5a8293ad7903f6d5fc07be8337dd0af3d2,96db07c3fbe511cf81874e81deb01ef028c71283f972fb5508d55abc32e99c6d,3ee951fdd5b5d04fda54b75ddc7bfd3d35432799c6e4004ae4b741a9790f50d8,fsb_96db07c3fbe511cf81874e81deb01ef028c71283
openai,gpt-5.6-sol,block_split_040,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,d26f23fb8cb4609b4345b565598ef5723b6884c75583cdf1562e306eaa1183ef,883ba1ea321e5edf202de443625290db65c2df8d951bd2f282b82a4d778a52df,00b299319bfdd75841cb5af2aa5be500efe1d4efcad067e839ffa73e6b35fc4a,fsb_883ba1ea321e5edf202de443625290db65c2df8d
openai,gpt-5.6-sol,block_split_041,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,bfccc62b5b3e4c513a446bc52a0736dc1b035a202d29eaa3c1d4fcced280ff07,0236d1171e3b5b2d8e1e6fdfabe7c4224e6ff0d68d0415c2a9d036c9a29e5447,a6a2ff92e926f76f33bef35a3de9ac274b4e4492049e69805599823534eaa3d1,fsb_0236d1171e3b5b2d8e1e6fdfabe7c4224e6ff0d6
openai,gpt-5.6-sol,block_split_042,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,9eb12ea15db889b327cc8c55a870a4b6d3eb6a761e8e0a84df27b54d37883b93,6dd839b69ebe76a1e2550d2123c10e6e9eebe0a5324c6d896b682ab01bc12c13,ee96185f2b89e14c3028124d92da81e952fe62ccf5b7347d53d2d11d65cf8ffd,fsb_6dd839b69ebe76a1e2550d2123c10e6e9eebe0a5
openai,gpt-5.6-sol,block_split_043,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,d1822f3aec2ee6a4526ab6287910d341be5b73e2892913f51f156c71d0bb8906,f87fd871be30e6d3b18fe19ad258ffae5f028b0b3fd138d1399a2ed116381939,f5d2244c2e5f2f4e3380c0d580ab9d124cdeee9ebad10e471feaffa5fd761dd0,fsb_f87fd871be30e6d3b18fe19ad258ffae5f028b0b
openai,gpt-5.6-sol,block_split_045,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,057df092c4908ddfe7319756fbeec57efe9ed7abf75d3bbf54d2533715fd2cc4,6809e1112154e2d8f1464fd6c1c7587a80580e6db5e472c90485122ea781e57a,80ab7e408bd6bd5b76b2ce234a2d8a9d7c7e30d58771cea93dccf9c2584f0986,fsb_6809e1112154e2d8f1464fd6c1c7587a80580e6d
openai,gpt-5.6-sol,block_split_047,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,00dcb49f1aa7068da42cb90214dacbe77e3f7deb27f41fed73ef1945957c4ae0,e57e2c689d7696a0eb235d2554efcf67aaa1d5bed8524b0e56b5a68ad0df4c7e,49496b2f94bbe59fdb0e75cc3ce27445ee0392f12e65be50340a4f199e9acc8e,fsb_e57e2c689d7696a0eb235d2554efcf67aaa1d5be
openai,gpt-5.6-sol,block_split_049,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,58df10efb047af4637e30ba71cfe7397042ca646ed66a8d3550c086d8079db0a,5472889ce6e9b265c27b555113cc0a06332d67415f55f3aeb7d713ad9db8517d,d119c7d529b08ec02dc2682b73d349c8afa051ce4f6f59360df3618f1363648c,fsb_5472889ce6e9b265c27b555113cc0a06332d6741
openai,gpt-5.6-sol,block_split_050,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,fcae9c8430e5798425e6a69911770d75077932cdf92da9bb7946ae98ee56138a,3508929c14bb4db61293ff5afe691226c2a24d6f15ebd3ff6a9ab935082f7ac7,4549d3e611038c9cfc1367c1333665eacb3b450abce5bc96b4e27b7f4e9d1e91,fsb_3508929c14bb4db61293ff5afe691226c2a24d6f
openai,gpt-5.6-sol,block_split_051,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,668854556a94ea0097be5f54173e2818953895499760fc57272174e173690132,51468512c9d31f9e945954788dc962989c5b6d042f848439ee777b2fd9f2d5f3,325a1c2b087f70c62939da4f01bae94b6940c0ec7c4ad459402921506fc7cd8e,fsb_51468512c9d31f9e945954788dc962989c5b6d04
openai,gpt-5.6-sol,block_split_053,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,c0694391ac93dccde20d6d5dbb977596b3883b3e7730fc365ad71a0e1c268374,8e7e27c62e2697f6198afa755db0e451a80f6584b6d8aa17b8a40401e82e15cd,a4361173971362d6104d766ebea227e31a94c82b893b0e97ce8986c67886062a,fsb_8e7e27c62e2697f6198afa755db0e451a80f6584
openai,gpt-5.6-sol,block_split_054,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,e086f0decf71ab161ecb209a9f4806e2b992789a7716d380be3cba4fe108ed3e,a710fe795119f7fc42c7a4398285c404d152e8499a701fe0c2dd07944004df95,5ab64cb6b6534cce6ad1b1b11873101dd8b21c1ba8839b2462ed070ed8390616,fsb_a710fe795119f7fc42c7a4398285c404d152e849
openai,gpt-5.6-sol,block_split_057,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,7a42d63a44084e9b3c6141590baa12e19621a378b815e04dab6ead9b75b01133,0564829c77991b02f153c2567c4b5c185ccc4d377560ac59490a4796a9bc91a1,30e4726971a35031a3d4f78738025608adc84c0fa7388f7de67c475e4afd8103,fsb_0564829c77991b02f153c2567c4b5c185ccc4d37
openai,gpt-5.6-sol,block_split_058,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,0e2b17ca35c9cdda8a65e835fd1036a2a296e56a3f005b7b92f36d4a641156ad,96d2b8cc26b3f0b6bd00ec9adb62dad3415fcd0353aa09d4bd45827de4c3e638,228ad47a7583d6d0555051a17f0b1ab392b6da6d70a3623d882700c0de2961fd,fsb_96d2b8cc26b3f0b6bd00ec9adb62dad3415fcd03
openai,gpt-5.6-sol,block_split_059,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,b86171e2c9c8ebd5b5b193e4cbcc66b81074940b99d7fdad8f742c0a275e6473,0b0fc053f87ae2214c0d1f74b8cfc04aaeed9d1516bc066a3b0a0730d5f380ca,e4bad0777be28167f367828daa8a636e9eb4f0f76bea9005bda35f2c661cb209,fsb_0b0fc053f87ae2214c0d1f74b8cfc04aaeed9d15
openai,gpt-5.6-sol,block_split_060,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,094f7898e5d01518f928f786605fc0e1c72af5e7136518159c053efafb760cb7,4c6a3fa3f795f4cd957504b6c779d3e9c6d40450dd40ca392f3f161df7b076b0,4aa3098cf413e8f1cb13798d49e7d8af5a5a1f214a302dbe132713758eed47af,fsb_4c6a3fa3f795f4cd957504b6c779d3e9c6d40450
